Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,N/A,1756-8722,HEMATOLOGY,SCIE,"22,392",29.9,Q1,4.2,99.70%
Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,N/A,1756-8722,ONCOLOGY,SCIE,"22,392",29.9,Q1,4.2,99.70%
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,AMER COLL PHYSICIANS,0003-4819,1539-3704,"MEDICINE, GENERAL & INTERNAL",SCIE,"64,867",19.6,Q1,4.48,0%
NEURO-ONCOLOGY,NEURO-ONCOLOGY,OXFORD UNIV PRESS INC,1522-8517,1523-5866,CLINICAL NEUROLOGY,SCIE,"23,243",16.4,Q1,3.38,31.96%
NEURO-ONCOLOGY,NEURO-ONCOLOGY,OXFORD UNIV PRESS INC,1522-8517,1523-5866,ONCOLOGY,SCIE,"23,243",16.4,Q1,3.38,31.96%
Nature Communications,NAT COMMUN,NATURE PORTFOLIO,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES,SCIE,"738,715",14.7,Q1,3.28,99.64%
JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,ELSEVIER SCIENCE INC,1936-8798,1876-7605,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"17,071",11.7,Q1,2.78,15.93%
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,J AM SOC NEPHROL,AMER SOC NEPHROLOGY,1046-6673,1533-3450,UROLOGY & NEPHROLOGY,SCIE,"40,657",10.3,Q1,4.18,5.62%
AMERICAN JOURNAL OF HEMATOLOGY,AM J HEMATOL,WILEY,0361-8609,1096-8652,HEMATOLOGY,SCIE,"15,830",10.1,Q1,1.84,28.92%
AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,ELSEVIER SCIENCE INC,1600-6135,1600-6143,SURGERY,SCIE,"25,282",8.9,Q1,3.53,60%
AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,ELSEVIER SCIENCE INC,1600-6135,1600-6143,TRANSPLANTATION,SCIE,"25,282",8.9,Q1,3.53,60%
CRITICAL CARE,CRIT CARE,BMC,1364-8535,1466-609X,CRITICAL CARE MEDICINE,SCIE,"35,618",8.8,Q1,1.97,99.69%
HAEMATOLOGICA,HAEMATOLOGICA,FERRATA STORTI FOUNDATION,0390-6078,1592-8721,HEMATOLOGY,SCIE,"21,998",8.2,Q1,1.91,98.41%
