"record_id","title","publication_year","publication_title","issn","doi"
1,"Andexanet alfa versus four-factor prothrombin complex concentrate for the reversal of apixaban- or rivaroxaban-associated intracranial hemorrhage: a propensity score-overlap weighted analysis",2022,"Critical Care (London, England)","1466-609X","10.1186/s13054-022-04043-8"
2,"Comparative Efficacy of Teclistamab Versus Current Treatments in Real-World Clinical Practice in the Prospective LocoMMotion Study in Patients with Triple-Class-Exposed Relapsed and/or Refractory Multiple Myeloma",2023,"Advances in Therapy","1865-8652","10.1007/s12325-023-02480-7"
3,"Endopeptidase Cleavage of Anti-Glomerular Basement Membrane Antibodies in vivo in Severe Kidney Disease: An Open-Label Phase 2a Study",2022,"Journal of the American Society of Nephrology: JASN","1533-3450","10.1681/ASN.2021111460"
4,"Use of a real-world synthetic control arm for direct comparison of lisocabtagene maraleucel and conventional therapy in relapsed/refractory large B-cell lymphoma",2023,"Leukemia & Lymphoma","1029-2403","10.1080/10428194.2022.2160200"
5,"Comparative effectiveness between mosunetuzumab monotherapy clinical trial and real-world data in relapsed/refractory follicular lymphoma in third or subsequent lines of systemic therapy",2023,"Leukemia & Lymphoma","1029-2403","10.1080/10428194.2023.2262066"
6,"Amivantamab compared with real-world therapies in patients with advanced non-small cell lung cancer EGFR Exon 20 insertion mutations after platinum-based chemotherapy",2023,"Acta Oncologica (Stockholm, Sweden)","1651-226X","10.1080/0284186X.2023.2254479"
7,"Comparative Effectiveness of Lurbinectedin for the Treatment of Relapsed Small Cell Lung Cancer in the Post-Platinum Setting: A Real-World Canadian Synthetic Control Arm Analysis",2023,"Targeted Oncology","1776-260X","10.1007/s11523-023-00995-1"
8,"External control cohorts for the single-arm LIBRETTO-001 trial of selpercatinib in RET+ non-small-cell lung cancer",2022,"ESMO open","2059-7029","10.1016/j.esmoop.2022.100551"
9,"Short-Term Outcomes of Phage-Antibiotic Combination Treatment in Adult Patients with Periprosthetic Hip Joint Infection",2023,"Viruses","1999-4915","10.3390/v15020499"
10,"Efficacy and Safety of Atezolizumab and Bevacizumab in Appendiceal Adenocarcinoma",2024,"Cancer Research Communications","2767-9764","10.1158/2767-9764.CRC-24-0019"
11,"Amivantamab compared with real-world therapies in patients with advanced non-small cell lung cancer harboring EGFR exon 20 insertion mutations who progressed after platinum-based chemotherapy",2022,"Lung Cancer (Amsterdam, Netherlands)","1872-8332","10.1016/j.lungcan.2022.03.005"
12,"Targeted dosing of anti-thymocyte globulin in adult unmanipulated haploidentical peripheral blood stem cell transplantation: A single-arm, phase 2 trial",2023,"American Journal of Hematology","1096-8652","10.1002/ajh.27068"
13,"Efficacy of Premedication Protocol without Ranitidine for Taxane Regimen: A Multicenter Non-Randomized Historical Controlled Study",2022,"Asian Pacific journal of cancer prevention: APJCP","2476-762X","10.31557/APJCP.2022.23.4.1331"
14,"Intermediate-dose cyclophosphamide and bortezomib for PBSC mobilization in multiple myeloma",2023,"Transfusion and Apheresis Science: Official Journal of the World Apheresis Association: Official Journal of the European Society for Haemapheresis","1473-0502","10.1016/j.transci.2023.103649"
15,"Relapse Rates With Paliperidone Palmitate in Adult Patients With Schizophrenia: Results for the 6-Month Formulation From an Open-label Extension Study Compared to Real-World Data for the 1-Month and 3-Month Formulations",2024,"The International Journal of Neuropsychopharmacology","1469-5111","10.1093/ijnp/pyad067"
16,"Efficacy of plasma exchange therapy for diffuse alveolar hemorrhage in patients with microscopic polyangiitis",2022,"Therapeutic Apheresis and Dialysis: Official Peer-Reviewed Journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy","1744-9987","10.1111/1744-9987.13824"
17,"3- or 1-Month DAPT in Patients at High Bleeding Risk Undergoing Everolimus-Eluting Stent Implantation",2021,"JACC. Cardiovascular interventions","1876-7605","10.1016/j.jcin.2021.07.016"
18,"Levetiracetam as a sensitizer of concurrent chemoradiotherapy in newly diagnosed glioblastoma: An open-label phase 2 study",2022,"Cancer Medicine","2045-7634","10.1002/cam4.4454"
19,"Outcomes for Dostarlimab and Real-World Treatments in Post-platinum Patients With Advanced/Recurrent Endometrial Cancer: The GARNET Trial Versus a US Electronic Health Record-Based External Control Arm",2023,"Journal of Health Economics and Outcomes Research","2327-2236","10.36469/001c.77484"
20,"Comparative effectiveness of tocilizumab vs standard care in patients with severe COVID-19-related pneumonia: a retrospective cohort study utilizing registry data as a synthetic control",2023,"BMC infectious diseases","1471-2334","10.1186/s12879-023-08840-6"
21,"Efficacy and safety of convalescent plasma therapy in patients with moderate-to-severe COVID-19: A non-randomized comparative study with historical control in a referral hospital in Indonesia",2022,"Journal of Infection and Public Health","1876-035X","10.1016/j.jiph.2021.10.028"
22,"Comparative effectiveness of mobocertinib and standard of care in patients with NSCLC with EGFR exon 20 insertion mutations: An indirect comparison",2023,"Lung Cancer (Amsterdam, Netherlands)","1872-8332","10.1016/j.lungcan.2023.107186"
23,"High Risk of Recurrence of Malignancy Noted in Four-day rATG Regimen After Allogeneic PBSCT From Matched Sibling Donors",2022,"Transplantation and Cellular Therapy","2666-6367","10.1016/j.jtct.2022.08.012"
24,"Non-Ablative Chemotherapy Followed by HLA-Mismatched Allogeneic CD3+ T-Cells Infusion Causes An Augment of T-Cells With Mild CRS: A Multi-Centers Single-Arm Prospective Study on Elderly Acute Myeloid Leukemia and int-2/High Risk Myelodysplastic Syndrome Patients",2021,"Frontiers in Oncology","2234-943X","10.3389/fonc.2021.741341"
25,"Comparative Effectiveness of Valoctocogene Roxaparvovec and Prophylactic Factor VIII Replacement in Severe Hemophilia A",2024,"Advances in Therapy","1865-8652","10.1007/s12325-024-02834-9"
26,"Safety and clinical outcome of tamoxifen in Duchenne muscular dystrophy",2021,"Neuromuscular disorders: NMD","1873-2364","10.1016/j.nmd.2021.05.005"
27,"Ruxolitinib plus standard of care in severe hospitalized adults with severe fever with thrombocytopenia syndrome (SFTS): an exploratory, single-arm trial",2024,"BMC medicine","1741-7015","10.1186/s12916-024-03421-z"
28,"Efficacy and safety of a reduced dose of plerixafor in combination with granulocyte colony-stimulating factor in healthy haploidentical stem cell donors",2022,"Vox Sanguinis","1423-0410","10.1111/vox.13266"
29,"Nasal spray of an IgM-like ACE2 fusion protein HH-120 accelerates SARS-CoV-2 clearance: A single-center propensity score-matched cohort study",2023,"Journal of Medical Virology","1096-9071","10.1002/jmv.28805"
30,"Quality of life, mood and seizure control in patients with brain tumor related epilepsy treated with lacosamide as add-on therapy: A prospective explorative study with a historical control group",2017,"Epilepsy & Behavior: E&B","1525-5069","10.1016/j.yebeh.2017.05.031"
31,"Camrelizumab plus platinum-irinotecan followed by maintenance camrelizumab plus apatinib in untreated extensive-stage small-cell lung cancer: a nonrandomized clinical trial",2023,"Frontiers in Immunology","1664-3224","10.3389/fimmu.2023.1168879"
32,"A Non-Comparative Prospective Pilot Study of Ketamine for Sedation in Adult Septic Shock",2018,"Military Medicine","1930-613X","10.1093/milmed/usy121"
33,"Ruxolitinib in severe COVID-19: Results of a multicenter, prospective, single arm, open-label clinical study to investigate the efficacy and safety of ruxolitinib in patients with COVID-19 and severe acute respiratory syndrome",2021,"Revista De La Facultad De Ciencias Medicas (Cordoba, Argentina)","1853-0605","10.31053/1853.0605.v78.n3.32800"
34,"An Open Label Trial to Assess Safety of Losartan for Treating Worsening Respiratory Illness in COVID-19",2021,"Frontiers in Medicine","2296-858X","10.3389/fmed.2021.630209"
35,"Sitagliptin compared with thiazolidinediones as a third-line oral antihyperglycemic agent in type 2 diabetes mellitus",2011,"Endocrine Practice: Official Journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists","1934-2403","10.4158/EP10405.OR"
36,"Intermittent tri-weekly docetaxel plus bicalutamide in patients with castration-resistant prostate cancer: a single-arm prospective study using a historical control for comparison",2013,"Asian Journal of Andrology","1745-7262","10.1038/aja.2013.89"
37,"Effect of Vonoprazan on Delayed Bleeding after Endoscopic Submucosal Dissection for Gastric Neoplasia among Antithrombotic Drug Users: A Single-Center, Single-Arm Prospective Observational Case Control Study",2020,"Acta Medica Okayama","0386-300X","10.18926/AMO/59958"
38,"Safety of inhaled nitric oxide after lung transplantation",2003,"The Journal of Heart and Lung Transplantation: The Official Publication of the International Society for Heart Transplantation","1053-2498","10.1016/s1053-2498(02)00809-4"
