record_id,redcap_repeat_instrument,redcap_repeat_instance,id_complete,filler,title,publication_year,author_industry,authors_cro,country_first_author,country_last_author,competing_interest,publication_title,issn,promoter,funding___1,funding___2,funding___3,funding___4,funding___5,doi,notes_study,paper_complete,og_study,exp_arm_constr,exp_arm_constr_other,exp_arm_select___1,exp_arm_select___2,exp_arm_select___3,exp_arm_select___4,exp_arm_select___5,exp_arm_select_other,phase___1,phase___2,phase___3,phase___4,phase___5,phase_other,population___1,population___2,population___3,population___4,population___5,population___6,pathology,icd10,intervention,atc,platform___1,platform___2,platform___3,platform___4,platform___5,platform_other,platform_nct,platform_eudract,platform_isrctn,platform_nb_other,og_center_number,og_design,justif_sat_def___1,justif_sat_def___2,justif_sat_def___3,justif_sat_def___4,justif_sat_def___5,justif_sat_def_other,og_design_ctrl,og_design_comp___1,og_design_comp___2,og_design_comp___3,og_design_comp___4,og_design_comp___5,og_design_comp___6,og_design_comp___7,og_design_compo_other,og_fu_start,og_fu_start_other,exp_arm_date_crit,notes_exp_arm,experimental_arm_complete,nb_ctrl_comp_ind,nb_rct_cmp_ind,ctrl_source,ctrl_type_source___1,ctrl_type_source___2,ctrl_type_source___3,ctrl_type_source___4,ctrl_type_source___5,ctrl_type_source___6,ctrl_type_source___7,ctrl_type_source_other,ctrl_number_centers,same_center,ctrl_data_type,ctrl_data_type_other,ctrl_units,ctrl_arm_date_crit,ctrl_same_select_crit,ctrl_select_crit___1,ctrl_select_crit___2,ctrl_select_crit___3,ctrl_select_crit___4,ctrl_select_crit___5,ctrl_select_crit___6,ctrl_select_crit_other,ctrl_fu_start_def,ctrl_exp_fu_start_eq,qualif_ctrl___1,qualif_ctrl___2,qualif_ctrl___3,qualif_ctrl___4,qualif_ctrl_other,justif_rwd_def,justif_rwd_def_other,ctrl_ttt_selection_descr,notes_control,control_arm_complete,estimand,estimand_other,endpoint_type,multiplicity,def_prim_endpoint,prim_end_comp,endpoint_categ___1,endpoint_categ___2,endpoint_categ___3,endpoint_categ___4,nsn_justif,nsn_justif_other,alpha,power,nsn_planned_exp,nsn_planned_ctrl,nsn_correct,planned_adj,adj_method,adj_method_other,n_adj_vars,type_adj_vars___1,type_adj_vars___2,type_adj_vars___3,type_adj_vars___4,type_adj_vars_other,justif_adj_vars___1,justif_adj_vars___2,justif_adj_vars___3,justif_adj_vars___4,justif_adj_other,adj_vars_add_justif___1,adj_vars_add_justif___2,adj_vars_add_justif___3,adj_vars_add_justif_other,matching_ratio,matching_method,matching_meth_other,matching_algo___1,matching_algo___2,matching_algo___3,matching_algo___4,matching_algo___5,matching_algo_other,caliper_length,match_replacement,weight_type,weight_type_other,iptw_stab,balance_plan_meth___1,balance_plan_meth___2,balance_plan_meth___3,balance_plan_meth___4,balance_plan_meth___5,balance_plan_meth___6,balance_plan_meth___7,balance_plan_meth_other,smd_thresh,overlap_plan_meth___1,overlap_plan_meth___2,overlap_plan_meth___3,overlap_plan_meth___4,overlap_plan_meth_other,sens_analysis_type___1,sens_analysis_type___2,sens_analysis_type___3,sens_analysis_type___4,sens_analysis_type___5,sens_analysis_type___6,sens_analysis_type___7,sens_analysis_type___8,sens_analysis_type___9,sens_analysis_type___10,sens_analysis_type_other,notes_stat,statistical_methods_indirect_comparison_complete,rwd_descr,rwd_strategies,exp_first_enroll,exp_last_enroll,ctrl_first_enroll,ctrl_last_enroll,med_fu_global,med_fu_exp,med_fu_control,res_consistency,multiplicity_res,n_included_exp,n_included_control,n_included_control_lot,baseline_comp_meth___1,baseline_comp_meth___2,baseline_comp_meth___3,baseline_comp_meth___4,baseline_comp_meth___5,baseline_comp_meth___6,baseline_comp_meth___7,baseline_comp_meth_other,n_naive_exp,n_naive_ctrl,n_naive_ctrl_lot,res_unadjusted,n_match_exp,n_match_ctrl,n_match_ctrl_lot,n_weight_exp,n_weight_ctrl,n_weight_ctrl_lot,number_eff_adj,adj_var_exclu_causes___1,adj_var_exclu_causes___2,adj_var_exclu_causes___3,adj_var_exclu_causes___4,adj_var_exclu_causes___5,adj_var_exclu_causes___6,adj_var_exclu_other,weight_outliers_meth,weight_out_check_meth,balance_check,balance_proof,overlap_check,overlap_proof,balance_meth_where___1,balance_meth_where___2,balance_meth_where___3,res_diff_how,res_diff_how_other,res_diff_adjust,res_pseudo_pop,res_sign_eval,res_sign_eval_prim,res_sign_eval_mult,sign_results,sign_primary_endp,sign_multiple_endp,sens_analyses_sign,bias_discussion,bias_type___1,bias_type___2,bias_type___3,bias_type___4,bias_type___5,bias_type___6,bias_type___7,bias_type___8,bias_type___9,bias_type_other,notes_results,results_complete
1,,,2,MD,"Andexanet alfa versus four-factor prothrombin complex concentrate for the reversal of apixaban- or rivaroxaban-associated intracranial hemorrhage: a propensity score-overlap weighted analysis",2022,1,0,usa,usa,1,"Critical Care (London, England)",1466-609X,"alexion astrazeneca rare disease",0,1,0,0,0,10.1186/s13054-022-04043-8,,2,1,3,,1,0,0,0,0,,0,0,0,1,0,,0,0,0,1,1,0,"intracranial hemorrhage",8B0Z,"andexanet alpha",V03AB38,1,0,0,0,0,,NCT02329327,,,,87,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,1,"annexa-4 study",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,"hemostatic effectiveness; 30 day all cause mortality",3,0,0,0,1,3,,,,,,,1,2,,20,0,0,0,1,confounder,0,0,1,0,,0,1,0,,,,,0,0,0,0,0,,,,3,,,0,1,1,0,0,0,0,,0.1,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,"change in outcome assessment for patients with no repeat scan","choix overlap weights car permet de ne pas perdre patients contrairement au PSM (why not iptw??);  cf clintrials pr og study outcomes;  ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,,3,3,1,,1,1,1,0,0,0,0,0,0,,2,,1,0,0,0,,5,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2015,2020,2016,2020,NR,NR,NR,1,,107,95,,1,1,0,0,0,0,0,,,,,4,,,,107,95,,21,0,0,0,1,0,0,,4,,1,1,3,,1,0,0,4,,,1,1,1,2,1,1,2,4,1,1,0,1,1,0,0,0,0,0,,"pas de smd post adj fournis;  bias: unavailable data in control arm and small sample size",2
2,,,2,MD,"Comparative Efficacy of Teclistamab Versus Current Treatments in Real-World Clinical Practice in the Prospective LocoMMotion Study in Patients with Triple-Class-Exposed Relapsed and/or Refractory Multiple Myeloma",2023,1,0,france,spain,1,"Advances in Therapy",1865-8652,janssen,0,1,0,0,0,10.1007/s12325-023-02480-7,,2,1,3,,0,0,0,0,1,"treatment subgroup",1,1,0,0,0,,0,0,0,1,1,0,"multiple myeloma",2A83.Y,teclistamab,L01FX24,1,0,0,0,0,,NCT04557098,,,,51,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,2,,0,MajesTEC-1;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0,N/A,1,1,0,0,0,3,,,,,,,1,2,,15,1,0,0,0,,1,0,0,0,,0,1,0,,,,,0,0,0,0,0,,,,2,,,0,1,0,0,0,0,0,,0.2,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,,"virent des variables pronostiques du modele d'analyse car perte de l'equilibre;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,,75,2,1,,1,1,5,0,0,0,0,0,0,,1,1,1,0,0,0,,6,,0,"LocoMMotion ClinicalTrials.gov NCT04035226 == real world non interventional study;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020,NR,2019,2020,NR,14.1,16.13,1,,165,248,,1,1,0,0,0,0,0,,,,,2,,,,165,248,,15,0,0,0,1,0,0,,4,,1,1,1,1,1,1,0,4,,,1,1,,2,1,,2,5,1,1,1,0,0,0,1,1,0,0,,"relativisent le residual confounding;  no results shown for sensitivity analyses (""did not show a major impact"";  bias: residual confounding non rando design+no recent therapies in rwd cohort and no restriction on ttt types used;  ",2
3,,,2,MD,"Endopeptidase Cleavage of Anti-Glomerular Basement Membrane Antibodies in vivo in Severe Kidney Disease: An Open-Label Phase 2a Study",2022,1,0,sweden,sweden,1,"Journal of the American Society of Nephrology: JASN",1533-3450,"Linkoeping University",1,1,0,0,1,10.1681/ASN.2021111460,,2,1,4,,0,0,0,0,0,,0,1,0,0,0,,0,0,0,1,1,0,"anti glomerular basement membrane disease; kidney failure","MF85; GB6Z",imlifidase,L04AA41,1,1,0,0,0,,NCT03157037,2016-004082-39,,,17,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,GOOD-IDES-01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,safety,1,0,0,1,0,1,,0.05,0.93,15,NR,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,"nsn method correct? + 2 CDJ + NSN calcule sur kidney survival alors que pas dans les CDJ princ + pas de delta fourni?;  autre cdjp == dialysis independancy at 6 months",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,,4,2,1,,1,0,2,0,0,0,0,0,1,"some inclusion criteria lacking for control arm",2,,0,1,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2017,2020,NR,NR,NR,NR,NR,0,,15,50,,1,0,0,0,0,0,0,,15,50,,,,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,1,1,4,1,1,4,,1,1,0,0,0,0,0,0,0,0,,"consistence co primary outcome in methods puis primary outcome defined in results?;  pas de tests stat sur les secondary outcomes;  biais: missing vars in control arm + biais inherent au design  ind comp;",2
4,,,2,MD,"Use of a real-world synthetic control arm for direct comparison of lisocabtagene maraleucel and conventional therapy in relapsed/refractory large B-cell lymphoma",2023,1,0,usa,switzerland,1,"Leukemia & Lymphoma",1029-2403,"bristol myers squibb",0,1,0,0,0,10.1080/10428194.2022.2160200,,2,1,3,,0,0,0,0,1,"LOT selection; physiology",0,0,0,1,0,,0,0,0,1,1,0,"relapse refractory diffuse large B cell lymphoma",2A81,"lisocabtagene maraleucel",L01XL08,1,0,0,0,0,,NCT02631044,,,,14,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,2,,1,"TRANSCEND;  on s'interesse a cohorte sACC donc analyse post hoc;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,"overall response rate",1,1,0,0,0,3,,,,,,,1,2,,11,1,0,0,0,,1,1,0,1,"data analyis",1,0,0,,,,,0,0,0,0,0,,,,1,,1,0,1,0,0,0,0,0,,0.2,0,0,1,0,,1,0,0,0,0,0,0,1,0,0,,"selection modele PS sur fit au lieu de balance??;  LTAC == og cohort + QCC == LTAC meeting transcend eligibility criteria + sACC == QCC with same LTAC LOT distribution + ACC == sACC avec multiple imputation and PSM (sensitivity analyses);  on s'interesse a sACC pr analyse principale;",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
