Number,Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
1,record_id,id,,text,Record ID,,,,,,,,,,,,,
2,id_complete,id,,,Complete?,,,,,,,,,,,,,
3,filler,paper,,text,Form filled out by,,,,,,,,,,,,,
4,title,paper,,text,Paper title,,,,,,,,,,,,,
5,publication_year,paper,,text,Publication year,,,,,,,,,,,,,
6,author_industry,paper,,yesno,"Authors affiliation, at least one industry",,,,,,,,,,,,,
7,authors_cro,paper,,yesno,"Authors affiliation, at least one CRO*",,* Contract Research Organization,,,,,,,,,,,
8,country_first_author,paper,,text,Country of first author,,,,,,,,,,,,,
9,country_last_author,paper,,text,Country of last author,,,,,,,,,,,,,
10,competing_interest,paper,,yesno,Competing interest with the pharmaceutical industry,,,,,,,,,,,,,
11,publication_title,paper,,text,Journal,,,,,,,,,,,,,
12,issn,paper,,text,Journal ISSN,,,,,,,,,,,,,
13,promoter,paper,,text,Promoter / sponsor of the source study for the experimental arm*,,"* if not reported, write NR",,,,,,,,,,,
14,funding,paper,,checkbox,Source of funding,"1, Public | 2, Private | 3, No funding | 4, Not reported",,,,,,,,,,,,
15,doi,paper,,text,Paper DOI,,,,,,,,,,,,,
16,notes_study,paper,,notes,Notes,,,,,,,,,,,,,
17,paper_complete,paper,,,Complete?,,,,,,,,,,,,,
18,og_study,experimental_arm,"Indirect compaison, experimental arm source",radio,Is the experimental arm of the indirect comparison based on a previously published clinical trial,"1, Yes | 2, No",,,,,,,,,,,,
19,exp_arm_constr,experimental_arm,"Experimental arm selection


<b><font color = ""red""><h5> /!\ FOR THE FOLLOWING SECTIONS: IF THE EXPERIMENTAL ARM OF THE INDIRECT COMPARISON COMES FROM A PREVIOUSLY PUBLISHED STUDY THAT STUDY IS THE SOURCE STUDY. IF NOT THE INDIRECT COMPARISON ITSELF IS THE SOURCE STUDY /!\ <b></font>",radio,Construction of experimental arm,"1, Whole arm | 2, Concatenation of multiple arms | 3, Arm subset | 4, Not reported | 5, Other",,,,,,[og_study] = '1',,,,,,
20,exp_arm_constr_other,experimental_arm,,text,"If other, specify",,,,,,,[exp_arm_constr] = '5',,,,,,
