chap;chap_title
01;Certain infectious or parasitic diseases
02;Neoplasms
03;Diseases of the blood or blood-forming organs
04;Diseases of the immune system
05;Endocrine, nutritional or metabolic diseases
06;Mental, behavioural or neurodevelopmental disorders
07;Sleep-wake disorders
08;Diseases of the nervous system
09;Diseases of the visual system
10;Diseases of the ear or mastoid process
11;Diseases of the circulatory system
12;Diseases of the respiratory system
13;Diseases of the digestive system
14;Diseases of the skin
15;Diseases of the musculoskeletal system or connective tissue
16;Diseases of the genitourinary system
17;Conditions related to sexual health
18;Pregnancy, childbirth or the puerperium
19;Certain conditions originating in the perinatal period
20;Developmental anomalies
21;Symptoms, signs or clinical findings, not elsewhere classified
22;Injury, poisoning or certain other consequences of external causes
23;External causes of morbidity or mortality
24;Factors influencing health status or contact with health services
25;Codes for special purposes
26;Supplementary Chapter Traditional Medicine Conditions
V;Supplementary section for functioning assessment
X;Extension Codes
