record_id,redcap_repeat_instrument,redcap_repeat_instance,id_complete,filler,title,publication_year,author_industry,authors_cro,country_first_author,country_last_author,competing_interest,publication_title,issn,promoter,funding___1,funding___2,funding___3,funding___4,doi,notes_study,paper_complete,og_study,exp_arm_constr,exp_arm_constr_other,exp_arm_select___1,exp_arm_select___2,exp_arm_select___3,exp_arm_select___4,exp_arm_select___5,exp_arm_select_other,phase___1,phase___2,phase___3,phase___4,phase___5,phase_other,pathology,population___1,population___2,population___3,population___4,population___5,population___6,icd10,intervention,atc,platform___1,platform___2,platform___3,platform___4,platform___5,platform_other,platform_nct,platform_eudract,platform_isrctn,platform_nb_other,og_center_number,og_design,justif_sat_def___1,justif_sat_def___2,justif_sat_def___3,justif_sat_def___4,justif_sat_def___5,justif_sat_def_other,og_design_ctrl,og_design_comp___1,og_design_comp___2,og_design_comp___3,og_design_comp___4,og_design_comp___5,og_design_comp___6,og_design_comp___7,og_design_compo_other,og_fu_start,og_fu_start_other,exp_arm_date_crit,notes_exp_arm,experimental_arm_complete,nb_ctrl_comp_ind,nb_rct_cmp_ind,ctrl_source,ctrl_type_source___1,ctrl_type_source___2,ctrl_type_source___3,ctrl_type_source___4,ctrl_type_source___5,ctrl_type_source___6,ctrl_type_source___7,ctrl_type_source_other,ctrl_number_centers,same_center,ctrl_data_type,ctrl_data_type_other,ctrl_units,ctrl_arm_date_crit,ctrl_same_select_crit,ctrl_select_crit___1,ctrl_select_crit___2,ctrl_select_crit___3,ctrl_select_crit___4,ctrl_select_crit___5,ctrl_select_crit___6,ctrl_select_crit_other,ctrl_fu_start_def,ctrl_exp_fu_start_eq,qualif_ctrl___1,qualif_ctrl___2,qualif_ctrl___3,qualif_ctrl___4,qualif_ctrl_other,justif_rwd_def___1,justif_rwd_def___2,justif_rwd_def___3,justif_rwd_def___4,justif_rwd_def_other,ctrl_ttt_selection_descr,notes_control,control_arm_complete,estimand,estimand_other,endpoint_type,multiplicity,def_prim_endpoint,prim_end_comp,endpoint_categ___1,endpoint_categ___2,endpoint_categ___3,endpoint_categ___4,nsn_justif,nsn_justif_other,alpha,power,nsn_planned_exp,nsn_planned_ctrl,nsn_correct,planned_adj,adj_method,adj_method_other,n_adj_vars,type_adj_vars___1,type_adj_vars___2,type_adj_vars___3,type_adj_vars___4,type_adj_vars_other,justif_adj_vars___1,justif_adj_vars___2,justif_adj_vars___3,justif_adj_vars___4,justif_adj_other,adj_vars_add_justif___1,adj_vars_add_justif___2,adj_vars_add_justif___3,adj_vars_add_justif_other,matching_ratio,matching_method,matching_meth_other,matching_algo___1,matching_algo___2,matching_algo___3,matching_algo___4,matching_algo___5,matching_algo_other,caliper_length,match_replacement,weight_type,weight_type_other,iptw_stab,balance_plan_meth___1,balance_plan_meth___2,balance_plan_meth___3,balance_plan_meth___4,balance_plan_meth___5,balance_plan_meth___6,balance_plan_meth___7,balance_plan_meth_other,smd_thresh,overlap_plan_meth___1,overlap_plan_meth___2,overlap_plan_meth___3,overlap_plan_meth___4,overlap_plan_meth_other,sens_analysis_type___1,sens_analysis_type___2,sens_analysis_type___3,sens_analysis_type___4,sens_analysis_type___5,sens_analysis_type___6,sens_analysis_type___7,sens_analysis_type_other,notes_stat,statistical_methods_indirect_comparison_complete,rwd_descr,rwd_strategies,exp_first_enroll,exp_last_enroll,ctrl_first_enroll,ctrl_last_enroll,med_fu_global,med_fu_exp,med_fu_control,res_consistency,multiplicity_res,n_included_exp,n_included_control,baseline_comp_meth___1,baseline_comp_meth___2,baseline_comp_meth___3,baseline_comp_meth___4,baseline_comp_meth___5,baseline_comp_meth___6,baseline_comp_meth___7,baseline_comp_meth_other,n_naive_exp,n_naive_ctrl,res_unadjusted,n_match_exp,n_match_ctrl,n_weight_exp,n_weight_ctrl,number_eff_adj,adj_var_exclu_causes___1,adj_var_exclu_causes___2,adj_var_exclu_causes___3,adj_var_exclu_causes___4,adj_var_exclu_causes___5,adj_var_exclu_causes___6,adj_var_exclu_other,weight_outliers_meth,weight_out_check_meth,balance_check,balance_proof,overlap_check,overlap_proof,balance_meth_where___1,balance_meth_where___2,balance_meth_where___3,res_diff_how,res_diff_how_other,res_diff_adjust,res_pseudo_pop,res_sign_eval,res_sign_eval_prim,res_sign_eval_mult,sign_results,sign_primary_endp,sign_multiple_endp,sens_analyses_sign,bias_discussion,notes_results,results_complete
1,,,2,sc,"Andexanet alfa versus four-factor prothrombin complex concentrate for the reversal of apixaban- or rivaroxaban-associated intracranial hemorrhage: a propensity score-overlap weighted analysis",2022,0,0,usa,usa,0,"Critical Care (London, England)",1466-609X,"Alexion Pharmaceuticals, Inc",0,0,0,1,10.1186/s13054-022-04043-8,,2,1,3,,1,0,0,0,0,,0,0,0,1,0,,"rivaroxaban‑associated intracranial hemorrhage",0,0,0,1,0,0,,Andexanet,,1,0,0,0,0,,NCT02329327,,,,,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,"hemostatic effectiveness and 30-day all-cause mortality",3,1,0,0,0,3,,,,,,,1,2,,22,0,0,0,1,confounders,0,0,1,0,,0,1,0,,,,,0,0,0,0,0,,,,3,,,0,1,0,0,0,0,1,"exact balance achieved by overlap weight",0.10,0,0,1,0,,0,0,0,0,0,0,1,"modified definition of the outcome",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,,3,3,1,,1,1,1,0,0,0,0,0,0,,2,,0,0,1,0,,0,0,1,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April, 11, 2015","March, 30, 2020","December, 1, 2016","August, 30, 2020",,,,1,,107,95,1,1,0,0,0,0,0,,,,4,,,,,,0,0,0,0,1,0,,4,,1,1,3,,1,0,0,4,,,1,1,1,1,1,1,1,2,1,"as this was not a randomized controlled trial, the risk of confounding bias exists",2
2,,,0,,"Comparative Efficacy of Teclistamab Versus Current Treatments in Real-World Clinical Practice in the Prospective LocoMMotion Study in Patients with Triple-Class-Exposed Relapsed and/or Refractory Multiple Myeloma",2023,1,0,france,spain,1,"Advances in Therapy",1865-8652,janssen,0,1,0,0,10.1007/s12325-023-02480-7,,2,1,1,,0,0,0,0,0,,1,1,0,0,0,,"multiple myeloma",0,0,0,1,0,0,,"multiple myeloma",,1,0,0,0,0,,NCT04557098,,,,NR,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0,ORR,1,1,0,0,0,3,,,,,,,1,2,,15,1,0,0,0,,1,0,0,0,,0,1,0,,,,,0,0,0,0,0,,,,2,,,0,1,0,0,0,0,0,,,0,0,1,0,,0,1,0,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,,76,2,1,,1,1,1,0,0,0,0,0,0,,2,,1,0,0,0,,0,0,0,1,"real world",0,"traitements decrits dans resultats",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NR,NR,2019,2020,NR,14.1,16.13,1,,165,248,1,1,0,0,0,0,0,,,,3,,,,,13,0,1,1,0,0,0,,4,,1,1,3,,1,1,0,,,,1,1,,2,1,,4,,1,"confounding bias",2
3,,,0,sc,"Endopeptidase Cleavage of Anti-Glomerular Basement Membrane Antibodies in vivo in Severe Kidney Disease: An Open-Label Phase 2a Study",2022,1,0,sweden,sweden,1,"Journal of the American Society of Nephrology: JASN",1533-3450,"hansa biopharma ab",0,1,0,0,10.1681/ASN.2021111460,,2,2,,,0,0,0,0,0,,0,1,0,0,1,2a,"severe kidney disease",0,0,0,1,0,0,,imlifidase,,1,1,0,0,0,,NCT03157037,"EUDRACT 2016-004082-39",,,17,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,"dialysis independance and safety",,0,0,1,0,1,,0.05,0.93,15,NR,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,,4,3,1,,,0,1,0,0,0,0,0,0,,2,,0,1,0,0,,0,0,1,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2017,2020,NR,NR,NR,NR,NR,,,15,50,1,0,0,0,0,0,0,,15,50,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,1,1,,1,1,4,,0,,2
4,,,0,sc,"Use of a real-world synthetic control arm for direct comparison of lisocabtagene maraleucel and conventional therapy in relapsed/refractory large B-cell lymphoma",2023,1,0,usa,switzerland,1,"Leukemia & Lymphoma",1029-2403,"juno therapeutics",0,1,0,0,10.1080/10428194.2022.2160200,"Juno Therapeutics a Subsidiary of Celgene",2,,,,0,0,0,0,0,,0,0,0,1,0,,"large B cell lymphoma",0,0,0,1,0,0,,"lisocabtagene maraleucel",,1,0,0,0,0,,NCT02631044,,,,,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,1,2,,,1,0,0,0,,0,1,0,1,"data analysis",1,0,0,,,,,0,0,0,0,0,,,,1,,1,0,1,0,0,0,0,0,,0.2,0,0,1,0,,1,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
